movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
399361,False,2,556172,Directing,J.C. Chandor,J.C. Chandor,3.982,/6oaCrcLpqAvuWci6kStnuuAc34I.jpg,574713249251417f4b000293,Directing,Director
514439,False,1,34396,Directing,Roxann Dawson,Roxann Dawson,11.055,/46TogVXwdXoDqOnbcMulTXHaFzx.jpg,5ab9e38ac3a36871fa00d694,Directing,Director
63311,False,2,309,Directing,Pedro Almodóvar,Pedro Almodóvar,4.414,/dKlaXJk3NLcsC1CKMx6xmyW5BZD.jpg,52fe46a4c3a368484e09be49,Directing,Director
342470,False,2,932759,Directing,Brett Haley,Brett Haley,1.684,/4iwFexwL0yU42SAfin5PR8wEut.jpg,5b57eb349251416dc6042d98,Directing,Director
1111141,False,2,1152112,Directing,Gonzalo García-Pelayo,Gonzalo García-Pelayo,0.839,/4xz0qXvjhaiV53rZhyv88rflOsm.jpg,643357bb4b6d9d00d40146c1,Directing,Director
1111141,False,2,2850691,Directing,Pedro G. Romero,Pedro G. Romero,0.6,,643357a631032500e0dd5fe6,Directing,Director
1108348,False,0,3992585,Directing,Clémence Davigo,Clémence Davigo,0.6,,642af3a19cc67b06055ca983,Directing,Director
465086,False,2,1545927,Directing,Nicolas Pesce,Nicolas Pesce,1.215,/fFZDivF43ntJ5KCN2H9ZQEKGgIi.jpg,595fdc4dc3a368253c095297,Directing,Director
748501,False,0,2797977,Directing,Kim Chun-soo,Kim Chun-soo,0.6,,5f7488823ff2df003752c522,Directing,Director
424998,False,2,94471,Directing,Jon Gunn,Jon Gunn,3.427,,5820ff12c3a36814d900054d,Directing,Director
1110738,False,0,3507455,Directing,Lucía Seles,Lucía Seles,0.6,,64321dc831032501036f1a3a,Directing,Director
500916,False,2,1358976,Directing,Nick Powell,Nick Powell,1.4,/1mwtLOSNtBFB0tK6T9xKGgdRP7u.jpg,5a6a5ba29251412268004ed1,Directing,Director
369299,False,2,121471,Directing,Gustavo Loza,Gustavo Loza,1.4,,564e418c9251414af9000826,Directing,Director
752867,False,2,1678747,Directing,Robbie Banfitch,Robbie Banfitch,2.744,/acc3B43qbQO3N6laaflgA4jA1N4.jpg,5f856d8dcb5c8e0038cb646d,Directing,Director
76203,False,2,72757,Directing,Steve McQueen,Steve McQueen,1.419,/toU1yd6PFn88utmDpWTZ69h5Pkr.jpg,52fe492cc3a368484e11df9b,Directing,Director
767377,False,2,1413077,Directing,Ram Madhvani,Ram Madhvani,2.537,/dMjTWf6nCqUZCWZT8LbiaK5YwBW.jpg,5fbb32ec8de0ae003f4ce29e,Directing,Director
556678,False,1,937147,Directing,Autumn de Wilde,Autumn de Wilde,1.96,/9M15M40mcdTJ8xjXrOtmRPmMHXs.jpg,5bd286909251415adf0040b0,Directing,Director
